hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,total_stay,weekend_stay_ratio,is_weekend_arrival,arrival_season,lead_time_category,total_guests,is_solo_traveler,is_couple,is_family,is_group,total_previous_bookings,cancellation_rate_history,has_special_requests,has_booking_changes,has_parking_space,is_room_changed,adr_per_person,total_cost,net_revenue,is_domestic
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0,0,0,Transient,0.0,0,0,Check-Out,2015-07-01,2015-07-01,0,0.0,0,Summer,Ultra-long (>180d),2,0,1,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,1
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,0,0,0,Transient,0.0,0,0,Check-Out,2015-07-01,2015-07-01,0,0.0,0,Summer,Ultra-long (>180d),2,0,1,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,1
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,0,0,0,Transient,75.0,0,0,Check-Out,2015-07-02,2015-07-01,1,0.0,0,Summer,Last-minute (0-7d),1,1,0,0,0,0,0.0,0,0,0,1,75.0,75.0,75.0,0
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,0,0,Transient,75.0,0,0,Check-Out,2015-07-02,2015-07-01,1,0.0,0,Summer,Short (8-30d),1,1,0,0,0,0,0.0,0,0,0,0,75.0,75.0,75.0,0
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,98.0,0,1,Check-Out,2015-07-03,2015-07-01,2,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,1,0,0,0,49.0,196.0,196.0,0
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,0,0,Check-Out,2015-07-03,2015-07-01,2,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,0,0,53.5,214.0,214.0,1
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,0,0,Transient,103.0,0,1,Check-Out,2015-07-03,2015-07-01,2,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,1,0,0,0,51.5,206.0,206.0,1
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,1,Canceled,2015-05-06,2015-07-01,3,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,0,41.0,246.0,0.0,1
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,0,Transient,105.5,0,0,Canceled,2015-04-22,2015-07-01,3,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,52.75,316.5,0.0,1
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-06-23,2015-07-01,4,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,0,0,0,0,61.5,492.0,0.0,1
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,145.0,0,0,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,72.5,580.0,580.0,1
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,1,48.5,388.0,388.0,0
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,0,0,Transient,154.77,0,1,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Short (8-30d),3,0,0,1,0,0,0.0,1,1,0,0,51.59,619.08,619.08,0
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,47.355,378.84,378.84,1
