Feature,Cluster,Mean,Median,Std
lead_time,0,74.591,45.5,77.276
lead_time,1,61.362,35.0,71.602
lead_time,2,139.115,129.0,93.508
lead_time,3,36.247,7.0,65.984
total_stay,0,3.501,3.0,2.087
total_stay,1,2.691,3.0,1.279
total_stay,2,7.865,7.0,3.174
total_stay,3,2.112,2.0,1.371
stays_in_weekend_nights,0,0.979,1.0,0.897
stays_in_weekend_nights,1,0.734,1.0,0.788
stays_in_weekend_nights,2,2.285,2.0,0.978
stays_in_weekend_nights,3,0.53,0.0,0.705
stays_in_week_nights,0,2.522,2.0,1.595
stays_in_week_nights,1,1.957,2.0,1.142
stays_in_week_nights,2,5.58,5.0,2.33
stays_in_week_nights,3,1.582,1.0,1.132
weekend_stay_ratio,0,0.264,0.25,0.274
weekend_stay_ratio,1,0.263,0.2,0.308
weekend_stay_ratio,2,0.293,0.286,0.062
weekend_stay_ratio,3,0.236,0.0,0.34
total_guests,0,3.36,3.0,0.627
total_guests,1,2.087,2.0,0.285
total_guests,2,2.009,2.0,0.377
total_guests,3,1.0,1.0,0.013
is_family,0,0.998,1.0,0.039
is_family,1,0.0,0.0,0.0
is_family,2,0.011,0.0,0.103
is_family,3,0.0,0.0,0.016
is_solo_traveler,0,0.0,0.0,0.0
is_solo_traveler,1,0.0,0.0,0.0
is_solo_traveler,2,0.065,0.0,0.247
is_solo_traveler,3,1.0,1.0,0.013
adr,0,149.801,145.0,65.798
adr,1,104.15,98.0,46.053
adr,2,98.403,89.0,48.913
adr,3,77.159,74.0,41.255
adr_per_person,0,44.54,44.25,17.733
adr_per_person,1,49.923,47.5,21.326
adr_per_person,2,49.283,44.625,23.406
adr_per_person,3,77.133,74.0,41.101
total_of_special_requests,0,1.118,1.0,0.981
total_of_special_requests,1,0.819,1.0,0.833
total_of_special_requests,2,0.76,1.0,0.861
total_of_special_requests,3,0.426,0.0,0.7
required_car_parking_spaces,0,0.188,0.0,0.393
required_car_parking_spaces,1,0.118,0.0,0.329
required_car_parking_spaces,2,0.095,0.0,0.297
required_car_parking_spaces,3,0.095,0.0,0.295
booking_changes,0,0.493,0.0,0.929
booking_changes,1,0.22,0.0,0.628
booking_changes,2,0.423,0.0,0.955
booking_changes,3,0.382,0.0,0.748
is_repeated_guest,0,0.015,0.0,0.123
is_repeated_guest,1,0.024,0.0,0.154
is_repeated_guest,2,0.013,0.0,0.112
is_repeated_guest,3,0.165,0.0,0.371
